WORDS,FREQ.,,"""FREQ IS THE TOTAL NO OF OCCURENCES OF THAT WORD ACROSS ALL CLUSTERS FOR ALL ARTICLES."""
deed,1,,
assyrians,1,,
sickness,9,,
center,3,,
passions,2,,
reaper,1,,
deliverance,1,,
think,20,,
prelude,3,,
offence,1,,
aspects,2,,
visitation,1,,
issue,5,,
attempt,3,,
sodom,2,,
pay,1,,
feet,78,,
cfc,1,,
asaph,2,,
tower,2,,
violence,1,,
expressions,4,,
tent,7,,
rites,1,,
pose,1,,
thing,108,,
centredness,21,,
surface,1,,
hammer,2,,
lord,1,,
prayers,47,,
river,5,,
blackboard,1,,
news,5,,
rest,20,,
accidents,3,,
mornings,1,,
hagar,2,,
prevention,1,,
trumpet,6,,
trickle,2,,
consecration,5,,
enemies,7,,
corporation,3,,
mercy,27,,
sardis,4,,
watch,1,,
categories,2,,
seek,5,,
see,1,,
hardness,3,,
faithfulness,8,,
resurrection,7,,
visibility,1,,
beasts,3,,
speaker,5,,
esau,4,,
ankle,1,,
theologians,1,,
theory,1,,
excel,3,,
noon,1,,
conflict,3,,
prey,1,,
hardships,14,,
gods,1,,
wineskin,3,,
meek,4,,
infection,3,,
gita,1,,
midst,31,,
cor,31,,
pattern,5,,
aright,2,,
st,7,,
daily,2,,
deadness,2,,
ambassador,1,,
wallet,1,,
possessor,8,,
bullock,1,,
appetites,3,,
overcome,1,,
daddy,4,,
others,82,,
languages,8,,
test,16,,
drunkenness,2,,
extent,1,,
salary,3,,
mountains,4,,
judas,1,,
regret,11,,
well,9,,
catholic,3,,
scent,1,,
tyrants,1,,
card,1,,
fortunes,1,,
surprise,6,,
prophet,98,,
worldly,5,,
powerlessness,1,,
jubilee,3,,
authorities,1,,
confusion,7,,
sea,2,,
doors,4,,
department,2,,
number,5,,
aladdin,1,,
multitudes,7,,
front,6,,
manufacturer,1,,
yonder,1,,
credentials,1,,
creature,2,,
mosquitoes,2,,
lifter,1,,
defeat,6,,
businessmen,3,,
believers,415,,
second,2,,
sceva,1,,
covenant,245,,
battle,4,,
failures,14,,
cream,2,,
ministries,5,,
song,4,,
mangoes,1,,
womb,4,,
lanes,1,,
bless,4,,
nasha,1,,
farewell,2,,
egyptians,9,,
attachment,2,,
joy,16,,
situation,68,,
record,1,,
effort,3,,
ahab,5,,
disregard,2,,
preachers,40,,
indifference,1,,
compound,1,,
futility,1,,
jesse,3,,
content,1,,
famine,6,,
saul,15,,
discussion,1,,
priests,4,,
afresh,3,,
members,25,,
justice,2,,
didst,1,,
possibilities,1,,
evangelists,10,,
joke,1,,
mould,1,,
heritage,5,,
envy,1,,
limitation,1,,
heavens,6,,
pros,1,,
epistle,1,,
college,4,,
end,24,,
rachel,5,,
homosexuality,1,,
meat,1,,
flame,1,,
chair,1,,
harassment,1,,
plot,2,,
week,1,,
say,3,,
phrase,13,,
edge,2,,
condition,4,,
filter,2,,
soul,114,,
heman,4,,
zeph,7,,
iron,6,,
hen,1,,
rain,14,,
distress,1,,
surgery,1,,
mindedness,5,,
engine,2,,
embers,1,,
discouragement,17,,
origin,5,,
judgement,1,,
annas,1,,
gospel,130,,
love,373,,
attention,1,,
priority,9,,
meroz,1,,
eagerness,7,,
courage,1,,
period,1,,
biscuit,1,,
way,88,,
knell,1,,
persecutions,3,,
vow,2,,
scheme,2,,
theft,1,,
cross,12,,
switch,1,,
hours,8,,
birth,4,,
kingdoms,7,,
identification,2,,
partaker,3,,
organization,3,,
ai,1,,
window,1,,
bank,2,,
spite,7,,
emotions,4,,
tentmaker,3,,
outside,1,,
movement,1,,
justification,2,,
laugh,1,,
bricks,2,,
word,163,,
fellow,3,,
bus,4,,
afflict,1,,
adam,100,,
apollos,2,,
stories,2,,
donkey,9,,
stewardship,2,,
lily,1,,
hesitation,2,,
failure,19,,
counterfeit,3,,
changers,2,,
meal,1,,
yoke,3,,
thorn,3,,
angel,5,,
probation,1,,
judea,1,,
believer,29,,
talk,2,,
christlike,4,,
care,11,,
authority,4,,
integrity,1,,
holy,140,,
background,12,,
jericho,2,,
prayerless,7,,
scholar,10,,
sam,28,,
confession,13,,
attitude,26,,
experience,8,,
robe,2,,
forgiveness,49,,
newness,2,,
kin,3,,
environment,2,,
samuel,4,,
harpist,1,,
shore,1,,
root,20,,
imprisonments,1,,
descendants,2,,
departments,2,,
awfulness,2,,
prison,1,,
rib,2,,
camels,2,,
mouthpiece,6,,
car,3,,
vacation,1,,
waste,4,,
romans,11,,
dependability,1,,
curse,16,,
temperaments,6,,
amasai,7,,
cleanliness,4,,
beacon,1,,
minutes,4,,
reverence,3,,
helpers,1,,
dream,1,,
trials,9,,
professors,2,,
age,4,,
visualization,1,,
severity,1,,
rainbow,4,,
cent,2,,
lizard,1,,
kun,1,,
pet,6,,
smallness,1,,
presence,46,,
whistle,2,,
ii,1,,
look,17,,
carmichael,1,,
ph,2,,
amount,1,,
mal,2,,
noise,1,,
msg,1,,
naaman,8,,
strata,1,,
prisoners,2,,
speculation,1,,
sellers,1,,
title,2,,
edom,3,,
illustrations,1,,
dearth,1,,
sister,6,,
yoga,2,,
lucifer,16,,
matchstick,1,,
cherub,1,,
flight,1,,
legalism,10,,
listeners,1,,
genesis,2,,
fraction,1,,
affairs,2,,
arrest,2,,
straightaway,3,,
university,3,,
strangers,2,,
fisherman,5,,
patmos,10,,
multiplication,1,,
synagogue,2,,
explanations,1,,
praise,95,,
belly,7,,
judgments,1,,
england,1,,
abundance,1,,
follow,2,,
desire,52,,
attire,1,,
rahab,2,,
topics,2,,
tome,1,,
hook,2,,
amana,2,,
teachers,9,,
possessions,4,,
usa,2,,
cake,1,,
fight,1,,
help,9,,
newcomers,2,,
complaint,3,,
appearance,12,,
history,6,,
bargainer,3,,
jordan,15,,
construction,1,,
idol,2,,
galilee,8,,
ad,1,,
side,1,,
eccl,7,,
food,8,,
relationships,7,,
javelin,1,,
destroy,1,,
exposure,1,,
prov,11,,
streets,3,,
captivity,9,,
highway,1,,
assembly,2,,
none,4,,
requirement,1,,
fora,1,,
boaz,2,,
imagine,1,,
harshness,4,,
william,1,,
lebanon,1,,
characteristic,4,,
ps,2,,
gentleness,33,,
compromisers,5,,
crookedness,6,,
eye,13,,
shelf,1,,
balaam,14,,
bough,1,,
joiner,1,,
nest,4,,
asa,2,,
vessel,2,,
laws,3,,
murmurers,2,,
kingdom,133,,
onslaughts,3,,
religions,3,,
trial,39,,
heb,141,,
psalm,58,,
criticism,6,,
shem,1,,
farmers,1,,
rage,1,,
tiger,2,,
precedence,2,,
creator,1,,
witchcraft,5,,
eliezer,1,,
cadets,1,,
correction,2,,
ideas,1,,
room,2,,
profitless,1,,
sentence,10,,
figure,1,,
referee,2,,
name,78,,
chief,1,,
manhood,1,,
reed,6,,
orient,2,,
foundation,7,,
millionaires,2,,
pocket,2,,
cart,4,,
bag,2,,
b,17,,
leaven,1,,
emotion,1,,
summer,3,,
opposite,5,,
america,1,,
document,3,,
unrest,4,,
member,19,,
perfume,5,,
character,3,,
adultery,1,,
mantle,2,,
court,2,,
abraham,20,,
explosion,1,,
burden,20,,
egypt,35,,
testimony,8,,
leadership,1,,
paradise,2,,
herein,2,,
jasper,2,,
paisa,1,,
organ,1,,
domination,3,,
descent,1,,
convince,1,,
thes,4,,
acknowledgement,2,,
forehead,3,,
gossip,5,,
book,5,,
veil,6,,
caleb,15,,
mystery,1,,
employ,3,,
mary,22,,
wickedness,7,,
sort,17,,
loaves,1,,
elijahs,1,,
showbread,1,,
father,29,,
ruin,4,,
gilgal,11,,
heart,172,,
weeks,1,,
titus,4,,
solomon,33,,
concern,24,,
choice,6,,
friend,2,,
photograph,1,,
victory,39,,
certainty,1,,
eph,64,,
style,1,,
applications,2,,
ghost,1,,
body,100,,
shop,4,,
insides,1,,
dictator,2,,
martus,1,,
accordions,1,,
invitation,1,,
skin,4,,
learn,2,,
scruff,2,,
intellectuals,1,,
frenzy,2,,
days,81,,
congregation,1,,
field,19,,
sinai,3,,
fall,5,,
prophets,61,,
greed,2,,
contentment,1,,
rulership,2,,
reality,3,,
difficulties,7,,
outflow,2,,
letter,33,,
definition,2,,
judge,3,,
lifetime,2,,
nonsense,3,,
storybook,1,,
comfort,1,,
tree,8,,
raven,3,,
dread,1,,
paths,4,,
satan,67,,
ball,2,,
defect,1,,
beat,1,,
fishers,1,,
call,16,,
brotherhood,1,,
pool,3,,
seematt,1,,
companion,2,,
musician,2,,
progress,6,,
tune,8,,
grabber,8,,
isaiah,106,,
inkling,1,,
adult,1,,
story,44,,
folk,6,,
remnant,7,,
tithe,1,,
thief,2,,
toil,1,,
official,2,,
direction,29,,
women,29,,
hearers,2,,
glimpse,2,,
triumph,3,,
indication,2,,
esth,1,,
fruit,27,,
spoil,1,,
tv,2,,
heap,1,,
pain,3,,
class,4,,
gerar,2,,
tarsus,1,,
stop,1,,
dirt,1,,
materialism,1,,
vessels,4,,
realm,3,,
reward,1,,
opportunity,20,,
reaction,2,,
foothold,3,,
captain,2,,
om,1,,
country,50,,
od,1,,
giver,17,,
potter,5,,
heavy,2,,
shapeless,2,,
blot,1,,
nutshell,1,,
shepherd,9,,
nathaniel,4,,
furnace,4,,
scorpions,2,,
uprightness,3,,
wisdom,69,,
merit,2,,
phil,2,,
implication,1,,
restoration,5,,
unitarians,1,,
tenth,1,,
midnight,3,,
ex,2,,
ezra,4,,
goodness,30,,
close,1,,
touch,5,,
lessons,2,,
notice,7,,
pile,2,,
activity,1,,
wombs,6,,
poverty,6,,
regard,1,,
wrist,3,,
soulish,20,,
boys,2,,
congregations,6,,
judgment,80,,
decisions,5,,
accordion,1,,
inability,1,,
translation,1,,
accent,2,,
light,106,,
bucket,4,,
hundreds,21,,
benjamin,5,,
shift,2,,
stephen,3,,
nature,5,,
serpent,1,,
reformation,3,,
absence,7,,
wolf,3,,
poem,1,,
baby,36,,
question,32,,
nervousness,1,,
corner,3,,
abject,1,,
jail,1,,
martin,3,,
denial,2,,
ehud,1,,
logic,4,,
givers,4,,
build,1,,
world,194,,
philippi,8,,
wine,3,,
heed,12,,
wesley,3,,
visitor,2,,
manmade,1,,
passage,2,,
preparation,3,,
evermore,1,,
accuser,4,,
gideon,9,,
verse,9,,
harm,4,,
hindrance,5,,
fact,92,,
representatives,2,,
concordance,2,,
ring,1,,
ff,1,,
roughness,2,,
confidence,25,,
hold,15,,
andrew,1,,
dollars,1,,
fish,3,,
sugarcane,2,,
first,1,,
denominations,5,,
shimei,4,,
ditch,3,,
plaques,1,,
lawlessness,5,,
part,12,,
application,3,,
accomplishments,6,,
train,13,,
total,2,,
forerunner,5,,
darius,2,,
upto,5,,
challenge,18,,
month,2,,
ladies,1,,
hymn,1,,
virtues,3,,
privilege,16,,
intentions,2,,
boy,3,,
balance,3,,
fellows,1,,
lake,1,,
interruption,2,,
loss,12,,
richness,1,,
lesson,57,,
enthusiasts,1,,
thunder,1,,
taylor,1,,
meats,5,,
sake,2,,
davids,2,,
potato,1,,
godliness,11,,
singers,5,,
ant,2,,
girl,2,,
gate,8,,
job,42,,
abel,7,,
suggestion,1,,
boast,2,,
conversations,4,,
board,9,,
amen,2,,
sleep,1,,
owner,1,,
measure,2,,
ki,2,,
bloodstream,1,,
power,22,,
miles,1,,
gallows,3,,
plant,7,,
christians,89,,
tide,1,,
factories,1,,
knife,3,,
ga,1,,
crags,1,,
veneer,6,,
chariot,1,,
thigh,1,,
evils,2,,
thankfulness,4,,
back,16,,
approval,5,,
connection,8,,
hoseas,1,,
resolutions,1,,
thine,7,,
biscuits,3,,
singer,1,,
joshua,20,,
afternoon,1,,
relatives,9,,
emerald,1,,
levi,4,,
governments,2,,
curiosity,1,,
breed,1,,
slavery,8,,
guidance,4,,
stem,1,,
mud,7,,
herdsmen,1,,
purer,3,,
pig,2,,
savior,3,,
acumen,1,,
answer,71,,
seers,4,,
sheep,8,,
delight,13,,
seal,1,,
imprisonment,1,,
enemy,1,,
mouth,20,,
basis,3,,
gadget,2,,
distortion,1,,
moriah,3,,
nadab,1,,
bishop,6,,
gallery,2,,
reverend,4,,
sermons,13,,
ethiopians,2,,
humble,3,,
kir,2,,
philippians,20,,
drug,1,,
possibility,2,,
equivalent,4,,
counsel,3,,
principles,35,,
mistresses,1,,
onslaught,1,,
pace,2,,
sinners,20,,
curry,1,,
baal,3,,
dismay,1,,
cds,2,,
submission,2,,
bin,4,,
rejection,2,,
john,22,,
honesty,18,,
outcome,1,,
seaman,1,,
accusations,3,,
lintel,2,,
language,5,,
beeri,2,,
murderer,4,,
scripture,37,,
opposition,2,,
pang,1,,
unwillingness,1,,
servants,41,,
garment,5,,
awe,3,,
bidder,1,,
enoch,4,,
canaan,11,,
pomp,1,,
suitcases,1,,
neighbour,2,,
morning,10,,
heretics,2,,
note,5,,
addition,2,,
head,32,,
consultation,2,,
egg,3,,
perfection,3,,
hedge,2,,
cyrus,3,,
disaster,8,,
sovereignty,8,,
prince,31,,
hand,19,,
evangelist,19,,
quantity,1,,
human,1,,
move,6,,
subjection,2,,
heartbeat,2,,
drifter,2,,
promotion,2,,
tongue,16,,
horn,1,,
smoke,3,,
discontentment,3,,
heaven,150,,
damnation,1,,
display,1,,
gratitude,9,,
terah,1,,
matt,165,,
lack,61,,
goddess,2,,
girls,12,,
christian,43,,
centre,7,,
madness,2,,
master,49,,
life,772,,
neh,10,,
elihu,2,,
flee,2,,
divisions,1,,
lap,1,,
enlightenment,1,,
vegetables,2,,
ason,1,,
magician,1,,
phone,1,,
shelter,1,,
meditation,1,,
fishermen,6,,
night,13,,
cradle,3,,
road,2,,
baptist,28,,
difference,3,,
leader,39,,
shyer,3,,
trickery,1,,
baptism,77,,
sanctuary,8,,
bill,1,,
factions,3,,
threats,1,,
dadda,1,,
mistake,9,,
righteousness,17,,
bird,5,,
downcast,1,,
tendency,1,,
cattle,1,,
bond,4,,
alliances,1,,
hur,1,,
penetrate,4,,
bitterness,8,,
students,1,,
usefulness,1,,
flesh,51,,
jim,1,,
rulers,1,,
cause,18,,
past,6,,
bottom,1,,
contractor,1,,
microscope,1,,
journey,25,,
hour,5,,
antichrist,24,,
worship,7,,
esther,3,,
imprint,1,,
ruth,2,,
characteristics,5,,
fire,32,,
permission,3,,
sevenfold,1,,
actuality,1,,
thess,6,,
eventuality,2,,
succession,1,,
doctrines,11,,
legs,1,,
type,2,,
mind,25,,
togetherness,1,,
elephant,1,,
hermon,3,,
junk,1,,
universities,1,,
office,6,,
attitudes,4,,
self,39,,
peniel,15,,
bondage,2,,
consequences,2,,
busybody,2,,
meand,1,,
shalt,8,,
worshipper,2,,
proof,12,,
shout,9,,
crown,2,,
localities,1,,
intimacy,1,,
collector,2,,
margin,2,,
football,2,,
music,3,,
sauls,1,,
track,1,,
rebecca,1,,
conventions,1,,
largeness,5,,
egyptian,1,,
fellowship,15,,
jonathan,6,,
saint,5,,
protection,2,,
spirit,394,,
overcomer,18,,
lamb,3,,
fitness,1,,
messengers,1,,
compare,4,,
keeper,1,,
panic,1,,
trip,7,,
acceptance,3,,
insects,2,,
levites,1,,
catch,1,,
cost,3,,
result,10,,
group,72,,
war,1,,
amos,3,,
middle,22,,
david,75,,
stand,5,,
touchstone,1,,
knee,2,,
fun,2,,
christianity,12,,
may,1,,
herod,3,,
festivals,1,,
leftovers,2,,
doorkeeper,1,,
get,1,,
attractions,3,,
task,20,,
door,5,,
determine,3,,
engagement,1,,
chaos,1,,
innermost,1,,
repent,2,,
originality,1,,
seriousness,1,,
simplicity,3,,
run,11,,
pangs,2,,
emergency,1,,
barbarians,1,,
unity,6,,
bibles,15,,
freedom,4,,
professor,4,,
legions,2,,
circumstances,10,,
expert,2,,
solution,3,,
din,2,,
matter,12,,
turn,8,,
recognise,2,,
torch,2,,
multitude,2,,
medicine,1,,
hebrews,81,,
contact,7,,
minimum,3,,
deborah,3,,
material,53,,
make,2,,
humility,101,,
relationship,1,,
prescription,2,,
disease,3,,
donkeys,7,,
greatness,1,,
pleasures,2,,
wilt,1,,
winter,6,,
maturity,28,,
misery,4,,
excuse,1,,
sand,2,,
judah,25,,
gap,6,,
blood,84,,
flood,6,,
national,1,,
work,24,,
support,1,,
hate,1,,
cornelius,1,,
free,2,,
armour,2,,
effectiveness,1,,
testament,109,,
sorrow,2,,
plough,3,,
compromise,1,,
anxiety,1,,
elijah,22,,
blacksmiths,1,,
moments,3,,
wrath,3,,
valleys,2,,
axis,1,,
method,2,,
temperature,4,,
matthew,33,,
line,9,,
hunter,2,,
catastrophe,2,,
haran,2,,
boat,1,,
kish,1,,
statutes,4,,
spiritual,1,,
bread,10,,
influence,6,,
arabia,3,,
state,65,,
talent,5,,
india,1,,
alignment,1,,
edict,1,,
lw,1,,
cartoon,1,,
foot,17,,
compartments,5,,
eden,3,,
injustice,1,,
hair,2,,
malachi,3,,
guarantee,1,,
partiality,2,,
sunday,22,,
peter,121,,
viewpoint,5,,
commandment,3,,
mine,10,,
ask,2,,
take,1,,
beard,1,,
conclusion,1,,
opinions,20,,
jar,3,,
balak,1,,
advantage,1,,
blow,1,,
circle,8,,
deaf,1,,
reason,13,,
bedroom,1,,
learner,2,,
tragedy,4,,
nothingness,1,,
jer,2,,
purse,2,,
breathe,1,,
philadelphia,8,,
demons,34,,
right,1,,
industry,1,,
envelope,1,,
countries,5,,
gold,13,,
pity,4,,
tool,1,,
luke,45,,
lenses,1,,
request,1,,
jacobs,2,,
rarity,1,,
passionate,1,,
paragraph,5,,
ears,4,,
gift,30,,
parable,1,,
baptisms,3,,
benefit,2,,
aarons,2,,
miracle,3,,
pews,4,,
nations,1,,
reputation,4,,
floor,3,,
debtor,3,,
area,67,,
conduct,1,,
doctor,8,,
practice,2,,
willingness,3,,
moab,3,,
thoughts,35,,
stage,13,,
bed,10,,
view,1,,
guise,1,,
goad,1,,
sharon,1,,
motives,1,,
spot,1,,
babel,1,,
release,1,,
academies,3,,
fortresses,4,,
importance,1,,
holiday,6,,
earnest,4,,
dill,1,,
kinds,2,,
electricity,1,,
w,2,,
hatred,1,,
ezekiel,15,,
everyday,1,,
pole,1,,
chapter,9,,
rice,1,,
fundamentalism,2,,
regulations,1,,
movie,2,,
happiness,6,,
disagreements,3,,
illustration,3,,
robbery,1,,
offer,2,,
dwell,1,,
beginnings,1,,
lame,2,,
mt,7,,
greek,1,,
study,8,,
chr,8,,
chairman,1,,
hinduism,1,,
cat,1,,
deal,3,,
administrations,4,,
charm,3,,
dog,2,,
skills,1,,
missionaries,13,,
creation,8,,
cover,1,,
warriors,1,,
teeth,1,,
patience,6,,
spoonful,1,,
catholics,2,,
statistics,1,,
sling,1,,
watt,1,,
theology,5,,
earthquake,1,,
daniel,17,,
fear,29,,
widow,2,,
awareness,1,,
guard,3,,
horse,1,,
contradiction,1,,
anyones,1,,
qualification,1,,
pm,1,,
expression,4,,
upbuilding,1,,
bloodshed,3,,
passion,1,,
order,29,,
helper,2,,
musicians,6,,
revival,3,,
newspapers,1,,
flock,30,,
wife,27,,
hem,1,,
mankind,7,,
extreme,2,,
structure,1,,
voice,18,,
traders,2,,
betrayal,1,,
decades,2,,
vapour,1,,
listen,1,,
degrees,2,,
samaria,10,,
crop,1,,
korah,9,,
artificiality,1,,
hab,4,,
fullness,41,,
sofas,1,,
eldership,1,,
priesthood,1,,
sheet,6,,
commitment,1,,
account,6,,
persecution,2,,
manner,3,,
straightway,1,,
weakness,2,,
tricksters,1,,
change,2,,
uniformity,2,,
treasure,1,,
shirt,1,,
fruitlessness,1,,
agreement,1,,
israels,5,,
wonder,8,,
lust,8,,
paper,2,,
pan,2,,
agents,12,,
africa,5,,
attractiveness,4,,
dweller,1,,
creak,2,,
page,3,,
wall,23,,
level,10,,
spring,13,,
goal,2,,
citizenship,1,,
degree,2,,
guideline,1,,
outdo,2,,
sincerity,44,,
suso,1,,
aaron,6,,
delilah,1,,
prouder,2,,
apostle,130,,
devotion,29,,
encouragement,14,,
wastage,4,,
status,2,,
shapelessness,2,,
wrong,2,,
desk,1,,
ease,1,,
cult,1,,
depression,2,,
fig,2,,
heretic,4,,
faith,180,,
choir,3,,
fleshly,2,,
homework,2,,
revelation,14,,
merchants,1,,
bow,1,,
situations,71,,
chennai,1,,
soil,9,,
bosom,1,,
heights,1,,
film,1,,
certificate,3,,
wind,6,,
whit,1,,
pull,7,,
faithless,6,,
corporations,4,,
c,5,,
seed,5,,
pleaser,6,,
overcomers,32,,
tracts,4,,
elliot,1,,
list,2,,
diversity,1,,
aspect,5,,
favour,3,,
beggar,5,,
preach,3,,
earring,2,,
childhood,1,,
kadesh,5,,
flask,3,,
camp,2,,
thousands,9,,
throne,3,,
hanani,3,,
camel,1,,
twos,1,,
water,36,,
goods,2,,
baggage,3,,
trouble,39,,
yesterdays,2,,
reply,12,,
young,1,,
seat,15,,
african,1,,
compartment,1,,
return,4,,
num,3,,
desert,1,,
khan,1,,
log,1,,
obstacle,2,,
selfishness,34,,
platform,7,,
kidney,1,,
determination,13,,
leviticus,2,,
supreme,1,,
salt,3,,
hurs,1,,
riches,10,,
chance,6,,
doctrine,31,,
torturers,2,,
choices,1,,
vial,1,,
prayerlessness,3,,
rev,123,,
amazement,4,,
trapper,3,,
leaders,29,,
tooth,3,,
grip,3,,
joseph,37,,
appreciation,23,,
service,9,,
almighty,5,,
smell,1,,
might,2,,
honey,6,,
josh,12,,
nearness,1,,
denomination,5,,
cooperation,3,,
occupation,3,,
ep,1,,
truths,2,,
impression,2,,
asia,10,,
parade,1,,
neighbourhood,1,,
mighty,1,,
darkness,3,,
accusation,5,,
education,3,,
moment,4,,
g,1,,
banquet,1,,
complainers,1,,
chapters,2,,
behalf,13,,
prosperity,17,,
sahibs,1,,
frustrations,1,,
controversies,1,,
staff,1,,
humanity,4,,
occupations,1,,
attraction,1,,
healers,1,,
disciple,99,,
magic,6,,
e,1,,
susa,1,,
israelites,71,,
anger,40,,
barnea,5,,
pakistan,1,,
bondages,1,,
cherith,4,,
sword,6,,
firstborn,1,,
paltry,1,,
sundays,2,,
exodus,15,,
north,4,,
top,4,,
peace,22,,
axe,1,,
hospitals,1,,
operation,2,,
avoid,1,,
valley,11,,
antioch,9,,
century,2,,
threes,1,,
discontent,1,,
steam,2,,
implantation,1,,
impurity,5,,
purpose,3,,
abram,6,,
stick,1,,
teens,1,,
simon,4,,
irrigation,1,,
gain,4,,
opportunities,2,,
ezek,1,,
organisations,1,,
prayer,194,,
monk,1,,
bara,1,,
busyness,3,,
persia,2,,
adventure,2,,
partake,1,,
family,27,,
legalist,3,,
sun,3,,
breeze,2,,
thoughtfulness,5,,
friendship,1,,
flattery,1,,
dependence,13,,
storm,1,,
disgrace,3,,
damage,2,,
legalists,1,,
cleanse,2,,
slave,5,,
brothers,12,,
cum,2,,
repayment,1,,
sparrow,1,,
convention,1,,
brokenness,1,,
bowl,2,,
ass,1,,
pat,1,,
physical,1,,
weaknesses,4,,
pillar,4,,
information,1,,
path,5,,
cf,1,,
talents,2,,
cave,7,,
armies,3,,
size,3,,
motto,4,,
walk,1,,
jot,1,,
sheba,1,,
crisis,6,,
fool,5,,
form,3,,
success,11,,
commandments,13,,
library,1,,
woe,4,,
development,1,,
hostility,1,,
english,2,,
rebellions,1,,
standard,2,,
theme,1,,
hope,12,,
blessedness,3,,
honour,8,,
fulfillment,14,,
inaction,1,,
vipers,1,,
temperament,3,,
convenience,1,,
bronze,1,,
literature,1,,
stone,5,,
fundamentalist,1,,
tittle,2,,
macedonia,3,,
prayerfulness,1,,
will,2,,
blunder,1,,
existence,8,,
behold,2,,
flour,5,,
growth,5,,
sin,190,,
bride,47,,
evaluation,1,,
eternity,30,,
read,1,,
lightning,4,,
avail,2,,
shape,2,,
wealth,27,,
statement,10,,
truth,205,,
followers,25,,
store,5,,
tales,1,,
hosea,10,,
simeon,2,,
length,3,,
slander,1,,
pit,4,,
message,188,,
funeral,1,,
valueless,1,,
guilt,7,,
foreheads,1,,
analogy,1,,
muscle,2,,
grief,5,,
revenge,4,,
behaviour,2,,
strengths,3,,
sabbath,3,,
dress,1,,
genie,1,,
complaints,2,,
helplessness,11,,
net,5,,
dan,26,,
portion,3,,
case,42,,
survivors,1,,
angels,10,,
taste,1,,
combination,1,,
split,1,,
lamp,1,,
beauty,2,,
cultism,1,,
turmoil,3,,
sharpness,2,,
suggestions,1,,
finger,1,,
teacher,11,,
idols,2,,
drink,2,,
labour,1,,
messenger,6,,
source,4,,
rhea,1,,
actor,1,,
feature,1,,
pathway,1,,
destruction,2,,
ignorance,8,,
whitefield,2,,
items,1,,
blindness,3,,
gum,1,,
position,8,,
welcome,2,,
antidote,2,,
curtain,1,,
calf,10,,
noah,15,,
wick,1,,
cheat,1,,
hospital,1,,
dung,4,,
babyhood,3,,
else,1,,
condemnation,4,,
payment,1,,
specialty,2,,
eleven,3,,
pray,1,,
pharaoh,6,,
assurance,1,,
fundamentalists,1,,
rut,2,,
handkerchiefs,2,,
dedication,1,,
piece,8,,
worker,1,,
garb,5,,
runway,1,,
